# x_cm Electrons_cm-3 OpticalGeneration_cm-3s-1
0.000000000000000000e+00 1.000000000000000000e+01 0.000000000000000000e+00
9.999999999999999547e-08 9.980014952594240540e+00 0.000000000000000000e+00
2.037500000000000080e-07 9.959280465908726399e+00 0.000000000000000000e+00
3.113906250000000282e-07 9.937768435968031611e+00 0.000000000000000000e+00
4.230677734375000453e-07 9.915449704897200789e+00 0.000000000000000000e+00
5.389328149414063533e-07 9.892294021400449111e+00 0.000000000000000000e+00
6.591427955017091413e-07 9.868269999757812272e+00 0.000000000000000000e+00
7.838606503330232931e-07 9.843345077284144651e+00 0.000000000000000000e+00
9.132554247205117256e-07 9.817485470192842456e+00 0.000000000000000000e+00
1.047502503147530908e-06 9.790656127804425068e+00 0.000000000000000000e+00
1.186783847015563352e-06 9.762820685037931767e+00 0.000000000000000000e+00
1.331288241278647029e-06 9.733941413120728470e+00 0.000000000000000000e+00
1.481211550326596500e-06 9.703979168449922810e+00 0.000000000000000000e+00
1.636756983463843991e-06 9.672893339536045687e+00 0.000000000000000000e+00
1.798135370343738218e-06 9.640641791957115458e+00 0.000000000000000000e+00
1.965565446731628614e-06 9.607180811248449359e+00 0.000000000000000000e+00
2.139274150984064704e-06 9.572465043650804972e+00 0.000000000000000000e+00
2.319496931645967200e-06 9.536447434636569298e+00 0.000000000000000000e+00
2.506478066582691230e-06 9.499079165130613234e+00 0.000000000000000000e+00
2.700470994079542581e-06 9.460309585339423677e+00 0.000000000000000000e+00
2.901738656357525550e-06 9.420086146098750390e+00 0.000000000000000000e+00
3.110553855970933034e-06 9.378354327646766464e+00 0.000000000000000000e+00
3.327199625569843431e-06 9.335057565726152973e+00 0.000000000000000000e+00
3.551969611528712910e-06 9.290137174914953277e+00 0.000000000000000000e+00
3.785168471961040053e-06 9.243532269082265884e+00 0.000000000000000000e+00
4.027112289659579426e-06 9.195179678860945671e+00 0.000000000000000000e+00
4.278129000521813714e-06 9.145013866025442084e+00 0.000000000000000000e+00
4.538558838041381819e-06 9.092966834658719577e+00 0.000000000000000000e+00
4.808754794467933759e-06 9.038968038987807319e+00 0.000000000000000000e+00
5.089083099260482012e-06 8.982944287763082514e+00 0.000000000000000000e+00
5.379923715482750856e-06 8.924819645051618622e+00 0.000000000000000000e+00
5.681670854813354601e-06 8.864515327310147796e+00 0.000000000000000000e+00
5.994733511868855564e-06 8.801949596598063863e+00 0.000000000000000000e+00
6.319536018563937823e-06 8.737037649785747817e+00 0.000000000000000000e+00
6.656518619260086143e-06 8.669691503607968031e+00 0.000000000000000000e+00
7.006138067482340216e-06 8.599819875406543801e+00 0.000000000000000000e+00
7.368868245012928880e-06 8.527328059400593574e+00 0.000000000000000000e+00
7.745200804200913603e-06 8.452117798316612252e+00 0.000000000000000000e+00
8.135645834358447943e-06 8.374087150204330143e+00 0.000000000000000000e+00
8.540732553146890816e-06 8.293130350257795769e+00 0.000000000000000000e+00
8.961010023889900319e-06 8.209137667454312393e+00 0.000000000000000000e+00
9.397047899785773185e-06 8.121995255816868209e+00 0.000000000000000000e+00
9.849437196027741094e-06 8.031585000098369065e+00 0.000000000000000000e+00
1.031879109087878214e-05 7.937784355678434878e+00 0.000000000000000000e+00
1.080574575678673702e-05 7.840466182455661404e+00 0.000000000000000000e+00
1.131096122266624133e-05 7.739498572510090213e+00 0.000000000000000000e+00
1.183512226851622707e-05 7.634744671302189367e+00 0.000000000000000000e+00
1.237893935358558702e-05 7.526062492165865869e+00 0.000000000000000000e+00
1.294314957934504752e-05 7.413304723843914701e+00 0.000000000000000000e+00
1.352851768857048849e-05 7.296318530804886571e+00 0.000000000000000000e+00
1.413583710189188255e-05 7.174945346070525254e+00 0.000000000000000000e+00
1.476593099321282850e-05 7.049020656272780627e+00 0.000000000000000000e+00
1.541965340545830941e-05 6.918373778648823524e+00 0.000000000000000000e+00
1.609789040816299836e-05 6.782827629671547065e+00 0.000000000000000000e+00
1.680156129846911332e-05 6.642198485001671315e+00 0.000000000000000000e+00
1.753161984716170504e-05 6.496295730435772242e+00 0.000000000000000000e+00
1.828905559143027018e-05 6.344921603512303498e+00 0.000000000000000000e+00
1.907489517610890596e-05 6.187870925425001722e+00 0.000000000000000000e+00
1.989020374521299330e-05 6.024930822879845493e+00 0.000000000000000000e+00
2.073608638565848302e-05 5.855880439518094782e+00 0.000000000000000000e+00
2.161368962512067869e-05 5.680490636513702896e+00 0.000000000000000000e+00
2.252420298606270488e-05 5.498523681938682905e+00 0.000000000000000000e+00
2.346886059804005904e-05 5.309732928474694802e+00 0.000000000000000000e+00
2.444894287046656491e-05 5.113862479033252306e+00 0.000000000000000000e+00
2.500000000000000120e-05 5.003733125430390061e+00 0.000000000000000000e+00
2.600000000000000179e-05 4.803882024118240501e+00 0.000000000000000000e+00
2.696385542168674832e-05 4.611254409095911555e+00 0.000000000000000000e+00
2.789287269560168642e-05 4.425589192233010394e+00 0.000000000000000000e+00
2.878831103190524109e-05 4.246634722367357284e+00 0.000000000000000000e+00
2.965138412713758028e-05 4.074148444188467444e+00 0.000000000000000000e+00
3.048326180928923366e-05 3.907896569453928048e+00 0.000000000000000000e+00
3.128507162341130626e-05 3.747653760092469977e+00 0.000000000000000000e+00
3.205790035991451465e-05 3.593202822763698290e+00 0.000000000000000000e+00
3.280279552762844760e-05 3.444334414460065386e+00 0.000000000000000000e+00
3.352076677361778243e-05 3.300846758751647680e+00 0.000000000000000000e+00
3.421278725167979060e-05 3.162545372288808387e+00 0.000000000000000000e+00
