# V_cathode_V I_dark_A J_dark_Acm2 C_F
0.000000000000000000e+00 9.401808179758250830e-30 8.985366084805948502e-27 2.534243950895636040e-12
2.500000000000000000e-01 1.396631954229714747e-12 1.334769775617206050e-09 2.011939374834650766e-12
5.000000000000000000e-01 2.252687330750143037e-12 2.152907180660522758e-09 1.723580327788014071e-12
7.500000000000000000e-01 2.964011593445246872e-12 2.832724167256874165e-09 1.533290339513989725e-12
1.000000000000000000e+00 3.589649740343138114e-12 3.430650404318403157e-09 1.395342407534166968e-12
1.500000000000000000e+00 4.655739078692574626e-12 4.449518562552253736e-09 1.204357257886661419e-12
2.000000000000000000e+00 5.586621117236240817e-12 5.339168270157791553e-09 1.075262223920926206e-12
2.500000000000000000e+00 6.421997570640441631e-12 6.137542700793812887e-09 9.803843770031580156e-13
3.000000000000000000e+00 7.168555135487923066e-12 6.851032371640125115e-09 9.068155955417835193e-13
3.500000000000000000e+00 7.849884810926345452e-12 7.502183346134230624e-09 8.476058914916304340e-13
4.000000000000000000e+00 8.486971004132709760e-12 8.111050551685088706e-09 7.986328486091678251e-13
4.500000000000000000e+00 9.092969859306350267e-12 8.690207396474966840e-09 7.572721622219360474e-13
5.000000000000000000e+00 9.675752856304760808e-12 9.247176702369243894e-09 7.217590573099716802e-13
